WOJEWÓDZTWO;styczeñ;luty;marzec;kwiecieñ;maj;czerwiec;lipiec;sierpieñ;wrzesieñ;paŸdziernik;listopad;grudzieñ
DOLNOŒL¥SKIE;8539;9320;10728;10228;10694;10965;9591;9305;9689;9170;;
KUJAWSKO-POMORSKIE;5232;6054;7303;6399;6565;6334;6135;5673;6006;5634;;
LUBELSKIE;6007;6105;7447;6766;7227;7112;6734;6831;6933;6331;;
LUBUSKIE;3464;3699;4205;3863;4100;4073;3849;3810;3717;3660;;
£ÓDZKIE;7156;7538;8808;8198;8568;8461;7954;7128;7893;7155;;
MA£OPOLSKIE;9780;11114;13313;12193;12352;13162;11445;10824;11719;10320;;
MAZOWIECKIE;22542;25219;30734;28099;29620;30427;26746;26313;28344;26121;;
OPOLSKIE;2480;2694;3272;2997;3133;3269;2931;2808;2818;2721;;
PODKARPACKIE;5514;6052;7333;6861;7299;7106;6940;6709;6591;6189;;
PODLASKIE;3181;3673;4289;3931;4098;3951;3971;3652;3648;3412;;
POMORSKIE;6619;6980;8917;8126;8322;8444;7864;7590;7489;7075;;
ŒL¥SKIE;11203;12590;15189;13555;14399;14530;12898;12566;13031;12033;;
ŒWIÊTOKRZYSKIE;3623;3831;4367;3982;4328;4209;4086;4162;4136;3614;;
WARMIÑSKO-MAZURSKIE;3309;3670;4354;4284;4092;4022;3806;3792;3842;3432;;
WIELKOPOLSKIE;14035;16281;18988;17798;17973;17562;15795;15437;16295;15609;;
ZACHODNIOPOMORSKIE;4101;4272;5379;4916;5118;5246;4770;4651;4855;4403;;
